layer,rank
bert.encoder.layer.0.attention.self.query,2
bert.encoder.layer.0.attention.self.value,2
bert.encoder.layer.1.attention.self.query,2
bert.encoder.layer.1.attention.self.value,2
bert.encoder.layer.2.attention.self.query,2
bert.encoder.layer.2.attention.self.value,8
bert.encoder.layer.3.attention.self.query,2
bert.encoder.layer.3.attention.self.value,8
bert.encoder.layer.4.attention.self.query,2
bert.encoder.layer.4.attention.self.value,2
bert.encoder.layer.5.attention.self.query,2
bert.encoder.layer.5.attention.self.value,8
bert.encoder.layer.6.attention.self.query,2
bert.encoder.layer.6.attention.self.value,8
bert.encoder.layer.7.attention.self.query,2
bert.encoder.layer.7.attention.self.value,8
bert.encoder.layer.8.attention.self.query,2
bert.encoder.layer.8.attention.self.value,8
bert.encoder.layer.9.attention.self.query,2
bert.encoder.layer.9.attention.self.value,8
bert.encoder.layer.10.attention.self.query,2
bert.encoder.layer.10.attention.self.value,8
bert.encoder.layer.11.attention.self.query,2
bert.encoder.layer.11.attention.self.value,2
